Question,Answer,Correct,Title
Which of the following is true about physician practices?,"Compared to large practices, small practices are more likely have multiple locations

Compared to large practices, small practices are more likely to have more sophisticated EHR systems

Compared to large practices, small practices tend to offer more in-house laboratory services

Compared to large practices, small practices are more likely to be single-specialty","Compared to large practices, small practices are more likely to be single-specialty","Knowledge Check

Practice Quiz
.
Â â¢Â 30 min
.
Â â¢Â 
3 total points available.
3 total points"
Which of the following is true regarding the US healthcare system?,"Larger practices are more likely to have complete patient data than smaller practices

Patients can only see physicians within the same practice so that all of their data is streamlined into one EHR record

Payment records are not a useful source of data, as they often do not accurately reflect the amount of care given to a patient

When payment records are used, those from capitation systems are more useful than those from fee-for-service systems in assessing care utilization",Larger practices are more likely to have complete patient data than smaller practices,"Knowledge Check

Practice Quiz
.
Â â¢Â 30 min
.
Â â¢Â 
3 total points available.
3 total points"
Which of the following does NOT accurately describe the Medicare Fee Schedule?,"It is weighted in part by both the work a physician puts into a given procedure as well as the risk a physician undertakes in doing that procedure

Details about it are available for public use 

It is updated from time to time

It was developed by private insurance companies",It was developed by private insurance companies,"Knowledge Check

Practice Quiz
.
Â â¢Â 30 min
.
Â â¢Â 
3 total points available.
3 total points"
Consider what is likely to have been written about you in all the clinical notes from your visits to clinics and hospitals. What kinds of information are you most concerned about being exposed to the public? Are you convinced that the methods discussed in this module would work to protect your privacy while still producing useful features?,,,"Knowledge Check

Practice Quiz
.
Â â¢Â 30 min
.
Â â¢Â 
3 total points available.
3 total points"
Which of the following statements is false?,"A photograph of a patient's face is a medical image.

Some kinds of medical imaging are not hazard-free.

Detecting physiochemical activity is an example of functional imaging.

An EKG depicts the movement of the wall of the heart.

All of the above are true.",An EKG depicts the movement of the wall of the heart.,"Knowledge Check

Practice Quiz
.
Â â¢Â 30 min
.
Â â¢Â 
3 total points available.
3 total points"
Which of the following is NOT considered protected health information (PHI)?,"The patient's email address

A photograph of the patient's left wrist

The full name of the patient's roommate

None of the above are PHI

All of the above are PHI",A photograph of the patient's left wrist,"Knowledge Check

Practice Quiz
.
Â â¢Â 30 min
.
Â â¢Â 
3 total points available.
3 total points"
Which of the following is FALSE regarding insurance or intermediaries? ,"In the US, the most common way people get insurance is through their employer. 

Insurance companies and government programs are two different types of intermediaries. 

If you are a healthy person in a risk pool with people of a range of health statuses (i.e. sick and healthy individuals), your premium will likely be higher than your expected spending. 

Private insurance can only be obtained through an employer. ",Private insurance can only be obtained through an employer. ,"Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
Which of the following is FALSE regarding healthcare delivery organizations such as physician practices or hospitals in the US?,"Healthcare delivery organizations can be operated by the government.

Essentially all delivery organizations are a part of a physician practice or a hospital

Physician practices and the facilities in which physicians provide services are always integrated into the same organization.

Both non-profit and for-profit organizations face economic pressures.",Physician practices and the facilities in which physicians provide services are always integrated into the same organization.,"Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
"A 50-year-old woman goes to her doctor for her annual physical exam. At the visit, she receives a mammogram and her annual influenza shot. Which level of care does this represent?","Secondary

Quaternary

Primary

Tertiary",Primary,"Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
Which of the following regarding rising healthcare costs over time is true?,"Aging of the population, increasing standards of living, and the adoption of new technologies, have all contributed to spending growth.

Rising costs are easily justified because they almost always result from using expensive new technologies that end up improving population health outcomes.

While the total amount of spending on healthcare in the US is increasing, the percent GDP spent on healthcare is not.

This trend is only found in the United States.","Aging of the population, increasing standards of living, and the adoption of new technologies, have all contributed to spending growth.","Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
Which of the following is MOST likely to incentivize health care providers to over-utilize medical care?,"Fee for service payment system

Paying physicians a salary

Using âsupply-sideâ tools such as gatekeepers

Capitation payment system

Increasing the number of expensive but not readily accessible diagnostic tools and services",Fee for service payment system,"Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
Hospitals in the US can:,"Operate on a for-profit or a not-for-profit basis

Be publicly or privately owned

Be teaching or non-teaching

Have or lack an emergency department (ED)

Have or lack an intensive care unit (ICU)

All of the above",All of the above,"Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
"Which of the following accurately describes a hospital network, in the context of U.S. health insurance?","All hospitals within the same geographic area

The group of physicians with admitting privileges at a hospital

A group of hospitals with whom an insurer works, and whose enrollees are encouraged to use

None of the above","A group of hospitals with whom an insurer works, and whose enrollees are encouraged to use","Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
Which of the following best describes the DRG system?,"It incentivizes efficient care by paying hospitals based on patient characteristics, not length of stay or services performed

It is compatible with paying a hospital on a fee-for-service basis

It gives a hospital a single payment for a patient with a given diagnosis, regardless of whether or not that patient is an âoutlierâ

It is a form of retrospective payment","It incentivizes efficient care by paying hospitals based on patient characteristics, not length of stay or services performed","Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
True of False? It is possible for the physician portion of a payment to be paid via a different mechanism (e.g. fee-for-service) than the facility portion.,"True

False",True,"Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
Which of the following is FALSE regarding Accountable Care Organizations (ACOs)?,"An ACO is an entity that works to integrate and coordinate care by involving a range of physicians who work together but are not necessarily financially integrated

When interfacing with intermediaries, the ACO can act on behalf of the participating providers

The ACO concept was originally devised by private insurance companies as a way to decrease costs for their members

Larger organizations can be better suited to ACO adoption because they can often more easily provide for a wide range of care and manage payment arrangements that can incentivize efficient care",The ACO concept was originally devised by private insurance companies as a way to decrease costs for their members,"Final Assessment

Graded Quiz
.
Â â¢Â 1h

DueSep 3, 11:59 PM +07"
