Question,Answer,Correct,Title
What is an API?,"A version control system used to manage your code
A practice for dev-ops teams enabling developers to deliver frequent changes reliably
A framework which dictates the architecture of your program and controls the program flow
Code that works with data and provides a mechanism for software to access resources from the back-end",Code that works with data and provides a mechanism for software to access resources from the back-end,"Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
"When a user tries to login to a website, he/she gets an authentication failure error. Who do you think can fix this error? (Select all that apply)","Back-end Developer
Full-stack Developer
Front-end Developer ","Back-end Developer
Full-stack Developer","Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
"In addition to SQL, which tool can help you access databases?","npm
ORM
pip
CI/CD",ORM,"Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
Build automation can automate which of the following tasks?  (Select all that apply),"Downloading dependencies
Packaging binary code
Compiling binary code into source code
Running tests and deployment to production systems","Downloading dependencies
Packaging binary code
Running tests and deployment to production systems","Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
A user has complained that the website is readable on desktop but not on mobile. Who can help solve this problem?," Back-end Developer
Front-end Developer",Front-end Developer,"Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
Which of the following describe a package manager?  (Select all that apply),"Contains application files, instructions for installation, and metadata
A way to distribute your pre-packaged application(s)
Takes care of finding, installing, maintaining or uninstalling software packages","A way to distribute your pre-packaged application(s)
Takes care of finding, installing, maintaining or uninstalling software packages","Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
Which of the following adds interactivity and dynamic content to a website?,"JavaScript
Git
HTML
CSS",JavaScript,"Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
Which of these is an open-source server side platform built on the Google Chrome JavaScript engine and uses an asynchronous single threaded architecture that allows it to serve a very large number of concurrent connections?,"Node.js
React JS 
 Angular
Flask",Node.js,"Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
Which of the following frameworks and libraries are used for front-end? (Select all that apply),"Express
Node.js
Angular
Vue.js
React.js","Angular
Vue.js
React.js","Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
Which of the following is NOT a required skill for a front-end developer?,"HTML
Java
CSS
JavaScript",Java,"Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 11, 11:59 PM +07"
The Node.js framework doesn't provide many features for building web apps. What do developers rely on to extend Node.js features?,"JavaScript
JSON
External libraries and packages
Timely updates",External libraries and packages,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
"One disadvantage of manual parsing is that string matching ignores the XML data structure. However, depending on XML data complexity, string matching might be more efficient than what?","An XML root element
An XML tree of the data
An XML attribute structure
No alternative: string matching is never more efficient.",An XML tree of the data,"Graded Quiz

Graded Quiz
.
 • 20 min

DueJun 25, 11:59 PM +07"
