Question,Answer,Correct,Title
Which of the following is/are NOT native or built-in data types in Python?,"boolean
integer
float
heap
string
varchar","heap
varchar","Back
Readiness Quiz

Graded Quiz
.
 • 1h

English
DueMay 19, 11:59 PM +07"
Mutable data types/collections in Python can be changed in place. Immutable ones can not change in place. Which of the following are mutable?,"bool
int
float
set
list
string
tuple
complex","set
list","Back
Readiness Quiz

Graded Quiz
.
 • 1h

English
DueMay 19, 11:59 PM +07"
Which of the following is NOT true about Python?,"Python code can run in IPython and Jupyter notebooks
Python allows for the inclusion of comments and pseudocode to better organize code
Users can save .py files with an editor then subsequently execute them from the command line
Base Python automatically parallelizes processing across cores when multiple cores are available
Python allows users to save multiple functions in a .py file then import those functions in a different file",Base Python automatically parallelizes processing across cores when multiple cores are available,"Back
Readiness Quiz

Graded Quiz
.
 • 1h

English
DueMay 19, 11:59 PM +07"
Which of the following pairs of events are mutually exclusive. There can be more than one answer.,"Odd numbers and the number 3
Even numbers and numbers greater than 10
Negative numbers and positive numbers less than 25
Numbers between 100-200 and numbers between 201-300
None of the above","Negative numbers and positive numbers less than 25
Numbers between 100-200 and numbers between 201-300","Back
Readiness Quiz

Graded Quiz
.
 • 1h

English
DueMay 19, 11:59 PM +07"
If you were to munge the data into a pandas.DataFrame which of the following would describe a reasonable goal for the cleaning process?,"customer on the rows and items like total_sales, name, most_bought on the columns
daily revenue on the rows items like customer_name and total on the columns
transactions on the rows and items like customer_name and item_id on the columns
None of the above",transactions on the rows and items like customer_name and item_id on the columns,"Back
Process Models & Design Thinking: Check for Understanding

Practice Quiz
.
 • 2 min
.
 • 
3 total points available.
3 total points

English"
Which types of programming tasks best describes what you are expected to already have some familiarity with before beginning this course?,"dashboarding, high performance computing, and code profiling
numeric computing, data munging, data visualization and data modeling
convex optimization, python programming, statistical programming
continuous integration, linear programming, and data exploration","numeric computing, data munging, data visualization and data modeling","Back
Process Models, Design Thinking, and Introduction: End of Module Quiz

Graded Quiz
.
 • 10 min

English
DueMay 19, 11:59 PM +07"
"Though the emphasis may change, which two elements are both essential and common to all three process models we talked about?","prediction, recommendation
data mining, data cleaning
resolve the business question, feedback loops
testing, model deployment","resolve the business question, feedback loops","Back
Process Models, Design Thinking, and Introduction: End of Module Quiz

Graded Quiz
.
 • 10 min

English
DueMay 19, 11:59 PM +07"
"Is the following statement True/False?  To succeed in this course you are expected to be proficient in any one of the following: R, Python or Java.","TRUE
FALSE",FALSE,"Back
Process Models, Design Thinking, and Introduction: End of Module Quiz

Graded Quiz
.
 • 10 min

English
DueMay 19, 11:59 PM +07"
Which of the following is the least accurate statement about the advantages of using process models in data science? Process models generally help by...,"avoiding unnecessary tangents
speeding up the process of getting through the workflow
minimizing the model selection process
guiding effective time allocation",speeding up the process of getting through the workflow,"Back
Process Models, Design Thinking, and Introduction: End of Module Quiz

Graded Quiz
.
 • 10 min

English
DueMay 19, 11:59 PM +07"
Is the following statement True/False?  Design thinking is applied in other domains which helps make the task of communicating the AI workflow to those outside of data science easier.,"TRUE
FALSE",TRUE,"Back
Process Models, Design Thinking, and Introduction: End of Module Quiz

Graded Quiz
.
 • 10 min

English
DueMay 19, 11:59 PM +07"
