Question,Answer,Correct,Title
"This quiz is intended to help you assess whether you have the necessary prerequisite knowledge for the Machine Learning portion of this course. 

Given : tuple = (‘left’, 44.44, ‘temp’, 99.99), what is the output of the Python statement below?

1
print(tuple[0])","(‘left’)
'left'
['left']
left",left,"Back
Python Skills Assessment Quiz

Practice Quiz
.
 • 
8 total points available.
8 total points

English"
"Which of the following commands removes all leading spaces in a string variable named ""txt""? ","txt.strip
strip(txt)
txt.lstrip()
lstrip.txt() ",txt.lstrip(),"Back
Python Skills Assessment Quiz

Practice Quiz
.
 • 
8 total points available.
8 total points

English"
"What is the output of the following Python statement?

1
print('{0:-2%}'.format(1.0/3))",".33%
33.333333%
It will give an error
0.33",33.333333%,"Back
Python Skills Assessment Quiz

Practice Quiz
.
 • 
8 total points available.
8 total points

English"
"What is the output of the following Python statement?

1
print('abcefd'.replace('cd','12'))","ab12ef
ab1ef2
abcefd
abf12",abcefd,"Back
Python Skills Assessment Quiz

Practice Quiz
.
 • 
8 total points available.
8 total points

English"
"What is the output of the following Python statement? 

1
2
3
my_string = 'whais'
for i in range(len(my_string)):
    print(i)","1 2 3 4 5 6
0 1 2 3 4
It will give an error
'whatis'",0 1 2 3 4,"Back
Python Skills Assessment Quiz

Practice Quiz
.
 • 
8 total points available.
8 total points

English"
"What is the output of the following Python statement? 

1
print(3>=3)","3
False
True",True,"Back
Python Skills Assessment Quiz

Practice Quiz
.
 • 
8 total points available.
8 total points

English"
"In the following code, N is a/an ________________? 

1
N ='3.0' ","Integer variable
String variable 
Float variable 
It will give an error ",String variable ,"Back
Python Skills Assessment Quiz

Practice Quiz
.
 • 
8 total points available.
8 total points

English"
Which of the following statements is true about Python syntax? ,"Variable names can start with a digit
Keywords cannot be used as a variable name
Variable name can start with an underscore ",Variable name can start with an underscore ,"Back
Python Skills Assessment Quiz

Practice Quiz
.
 • 
8 total points available.
8 total points

English"
Which of these statements are true?,"AI deals with theory and methods while ML is a toolset.
In ML, machines don’t start out intelligent. They learn to become intelligent.
AI and ML are exactly the same thing
ML is a sub-discipline of AI","AI deals with theory and methods while ML is a toolset.
In ML, machines don’t start out intelligent. They learn to become intelligent.
ML is a sub-discipline of AI","Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
"True or False: Generally, one of the easiest ways to add machine learning to your applications is to use pre-trained models.","False
True",True,"Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
What is meant by model generalization?,"A model's ability to correctly make predictions on data it hasn't been trained on.
How well a model can make predictions on the same data it's trained on.
How well a model can make predictions on a wide variety of applications.",A model's ability to correctly make predictions on data it hasn't been trained on.,"Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
True or False: Data engineering typically plays a small role in deploying machine learning models. ,"True
False",False,"Back
Google Cloud

Practice Quiz
.
 • 
1 total point available.
1 total point

English"
Which of the following are a feature of hedge fund alpha ? ,"Return in excess of a benchmark
Risk adjusted return
Return once market and sector risk have been minimized",Return once market and sector risk have been minimized,"Back
Google Cloud

Practice Quiz
.
 • 
1 total point available.
1 total point

English"
Order execution strategies are used by both portfolio managers and quant traders. What is the objective of this type of strategy?,"Break up large orders into smaller orders to minimize brokerage costs and exchange fees.
Minimize market impact costs.
Preserve privacy of strategy as long as possible.","Minimize market impact costs.
Preserve privacy of strategy as long as possible.","Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
Please select the statements that are true.,"High-frequency trading is a type of algorithmic tradin
Quantitative trading, algorithmic trading and high frequency trading  are a small part of trading volume in today's markets.",High-frequency trading is a type of algorithmic trading,"Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
We have been talking about correlation and cointegration. Please select the statements below that are correct:,"Cointegration is the same as correlation except that cointegration is the correlation of the means of two price series.
Cointegration and correlation both imply that the two price series are stationary.
Cointegration indicates that the difference between the means of two price series is stationary.
Correlation implies that the returns from two prices series are related, either positively or negatively.","Correlation implies that the returns from two prices series are related, either positively or negatively.","Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
"Quant trading has several advantages over discretionary trading as it is objective and takes the emotion out of strategy and risk management decisions. That said, it also has some challenges (many of which are shared by discretionary trading). Please look at the list below and select the statements that reflect these challenges.","Quant strategies are consistently profitable.
Quant strategies  are optimal for all market conditions.
Quant strategies must be constantly adapted to new market correlations and volatility.","Quant strategies are consistently profitable.
Quant strategies  are optimal for all market conditions.
Quant strategies must be constantly adapted to new market correlations and volatility.","Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
Which type of arbitrage is used in Pairs Trading,"Statistical Arbitrage
Exchange Arbitrage
Carry Arbitrage",Statistical Arbitrage,"Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
Index arbitrage trading makes a profit by:,"Using exchange arbitrage to trade component stocks of an index that have bid prices that are higher than ask prices on two different exchanges.
Using cointegration between two indexes to decide when to buy one index and sell the other short.
Buying the component stocks and selling the index ETF or future when the component stocks are cheaper than the index ETF or future.",Buying the component stocks and selling the index ETF or future when the component stocks are cheaper than the index ETF or future.,"Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
Smaller markets offer more opportunities for statistical arbitrage but also have some unique challenges such as,"Lower liquidity
Small bid-ask price spreads
Low trade frequency
Higher level of competition in market","Lower liquidity
Low trade frequency","Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
The advantage of using a sliding window backtest over a split window backtest is that,"You are able to use more of the available data to train your model
You are able to use more of the available data to test your model
You don't use the same data for testing that you already used for training
Higher level of competition in market","You are able to use more of the available data to train your model
You are able to use more of the available data to test your model","Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
When designing your trading model it is more realistic to assume that you will,"Buy at the bid price and sell at the ask price
Buy and sell at the midpoint between the bid and the ask price.
Buy at the ask price and sell at the bid price.",Buy at the ask price and sell at the bid price.,"Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
Please identify some of the biases that can weaken a backtest below.,"Look-ahead bias
Look-back bias
Optimization bias","Look-ahead bias.
Optimization bias","Back
AI and Machine Learning

Graded Quiz
.
 • 5 min

English
DueMay 19, 11:59 PM +07"
Which of these are common types of quantitative trading strategies?,"Forecasting
Mean reversion
Correlation/Cointegration
Dickey–Fuller","Forecasting
Mean reversion
Correlation/Cointegration","Back
Trading Concepts Review

Graded Quiz
.
 • 15 min

English
DueMay 19, 11:59 PM +07"
A stock is observed to have an average price of 50 with a +/- 5 variation over the past 100 trading days. You buy when the stock reaches 45 and sell when it reaches 55. What kind of arbitrage is this?,"Carry
Statistical
Merger
Liquidation",Statistical,"Back
Trading Concepts Review

Graded Quiz
.
 • 15 min

English
DueMay 19, 11:59 PM +07"
Which of these are challenges in statistical arbitrage?,"Trading, clearing, and exchange fees
Risk-based charges
Short sale interest
Paying for liquidity","Trading, clearing, and exchange fees
Risk-based charges
Short sale interest
Paying for liquidity","Back
Trading Concepts Review

Graded Quiz
.
 • 15 min

English
DueMay 19, 11:59 PM +07"
Which of these are valid uses of backtesting?,"Quantify the hypothetical performance of your strategy for comparison with other strategies.
Predict likely capital requirements, trade frequency and risk for your portfolio.
Ensure that your strategy will be profitable in live trading.
Determine your maximum drawdown for your strategy in live trading","Quantify the hypothetical performance of your strategy for comparison with other strategies.
Predict likely capital requirements, trade frequency and risk for your portfolio.","Back
Trading Concepts Review

Graded Quiz
.
 • 15 min

English
DueMay 19, 11:59 PM +07"
Which of these are common biases in back-testing?,"Risk bias
Optimization bias
Look-ahead bias
Survivorship bias","Optimization bias
Look-ahead bias
Survivorship bias","Back
Trading Concepts Review

Graded Quiz
.
 • 15 min

English
DueMay 19, 11:59 PM +07"
Statistical arbitrage and index arbitrage account for most of the volume in quantitative trading. Please select the examples of stat arb from the choices below:,"Selling an asset on one trading venue at 110 and simultaneously buying it back for 109.90 at a different trading venue.
Selling an asset on one trading venue at 110 and buying it back later for 109 at a different trading venue.
Selling a basket of stocks that matches the composition of the S&P 500 for $300,000 and simultaneously buying 1000 shares of the SPY ETF for $299.70.",Selling an asset on one trading venue at 110 and buying it back later for 109 at a different trading venue.,"Back
Trading Concepts Review

Graded Quiz
.
 • 15 min

English
DueMay 19, 11:59 PM +07"
What is the difference between regression and forecasting?,"Regression uses variables to explain a response while forecasting uses past data to predict the future.
Forecasting uses variables to explain a response while regression uses past data to predict the future.",Regression uses variables to explain a response while forecasting uses past data to predict the future.,"Back
Forecasting

Practice Quiz
.
 • 
3 total points available.
3 total points

English"
Which of these technologies allows you to use SQL-like syntax to build machine learning models on Google Cloud Platform?,"BigQuery Machine Learning
Tensorflow
Perception APIs
Cloud Vision",BigQuery Machine Learning,"Back
Forecasting

Practice Quiz
.
 • 
3 total points available.
3 total points

English"
Say you want to predict whether or not a sale will occur given historical sales history and corresponding market conditions. This is an example of what type of machine learning problem?,"Classification
Regression
Forecasting
Unsupervised learning ",Classification,"Back
Forecasting

Practice Quiz
.
 • 
3 total points available.
3 total points

English"
What does the BigQuery LAG function do?,"Returns the value of an expression on a preceding row
Returns the value of an expression on a subsequent row
Identifies the percentile a given row falls into within a partition
Assigns a rank to each row within a partition of a result set",Returns the value of an expression on a preceding row,"Back
Forecasting

Practice Quiz
.
 • 
3 total points available.
3 total points

English"
"The past 4 values of a stock's closing price are sequentially 80, 81, 74, and 77. What is the trend_3_day value?","-1
+1",+1,"Back
Forecasting

Practice Quiz
.
 • 
3 total points available.
3 total points

English"
With the US GDP  we saw that that the data had an upward trend. We took the first difference but were not able to eliminate the trend. Why do you think the data required a second differencing?,"The data had too steep a slope
The data had an exponential component (increasing slope).
The data were spread out over a long period of time.",The data had an exponential component (increasing slope).,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
What is the difference between seasonality and cyclicality?,"Seasonality refers to cycles that repeat on an annual basis. Cyclicality refers to cycles that can be longer than a year.
Seasonality refers to data that varies according to 3-month cycles, the same length as seasons of the year.
There is no difference. Seasonality and cyclicality are the same thing.",Seasonality refers to cycles that repeat on an annual basis. Cyclicality refers to cycles that can be longer than a year.,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
"Please choose the pair that correctly completes this statement:

Auto correlation can be shown visually with a _____________ and also by the __________. ","first-differenced plot and second-differenced plot
scatter plot and correlation",scatter plot and correlation,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
Both AR and MA models use previous data to predict the next value of our variable. How are they different?,"AR uses lagged values of the error terms and MA uses lagged values of the data itself.
MA uses lagged values of the error terms and AR uses lagged values of the data itself.",MA uses lagged values of the error terms and AR uses lagged values of the data itself.,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
"An ARIMA(1,2,3) model includes:","One lagged error term, two lagged data values and is differenced three times.
One lagged data value, two lagged lagged error terms and is differenced three times.
One lagged data value, three lagged lagged error terms and is differenced twice.","One lagged data value, three lagged lagged error terms and is differenced twice.","Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
Why is stationarity important in time series modeling?,"Preservation of model stability
It optimizes model performance
Improves predictive power",Preservation of model stability,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
"Most time series contain one or more of the following components: trend, seasonal, cyclical, residual. ","True
False",True,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
An Auto Regressive (AR) process involves finding which of the following?,"Time lag
Spatial resolution
Moving average
Principle components",Time lag,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
Moving Average models involve finding which of the following?,"Error terms
Time lag
Correlation coefficients
Principle components",Error terms,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
You have an ARIMA model with a parameter p=1. What does this say about the model?,"Each term in the model is correlated to one output prior.
One error term is used to predict the output.
It’s stationary.
It’s not stationary.",Each term in the model is correlated to one output prior.,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
If I wanted my outputs to be in the form of probabilities which activation function should I use in the final layer?,"Sigmoid
ReLU
Tanh
ELU",Sigmoid,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
What is important when creating deep neural networks?,"Lots of data
All of the above
Experimentation
Having good generalization",All of the above,"Back
Time Series

Practice Quiz
.
 • 
5 total points available.
5 total points

English"
Which of the following indicates potential overfitting of a machine learning model?,"The model performs poorly on training data and on validation data.
The model performs poorly on training data and well on validation data.
The model performs well on training data and on validation data.
The model performs well on training data but poorly on validation data.",The model performs well on training data but poorly on validation data.,"Back
Model generalization

Practice Quiz
.
 • 
1 total point available.
1 total point

English"
