Question,Answer,Correct,Title
Which of the following is true about physician practices?,"Compared to large practices, small practices are more likely have multiple locations

Compared to large practices, small practices are more likely to have more sophisticated EHR systems

Compared to large practices, small practices tend to offer more in-house laboratory services

Compared to large practices, small practices are more likely to be single-specialty","Compared to large practices, small practices are more likely to be single-specialty","Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Which of the following is true regarding the US healthcare system?,"Larger practices are more likely to have complete patient data than smaller practices

Patients can only see physicians within the same practice so that all of their data is streamlined into one EHR record

Payment records are not a useful source of data, as they often do not accurately reflect the amount of care given to a patient

When payment records are used, those from capitation systems are more useful than those from fee-for-service systems in assessing care utilization",Larger practices are more likely to have complete patient data than smaller practices,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Which of the following does NOT accurately describe the Medicare Fee Schedule?,"It is weighted in part by both the work a physician puts into a given procedure as well as the risk a physician undertakes in doing that procedure

Details about it are available for public use 

It is updated from time to time

It was developed by private insurance companies",It was developed by private insurance companies,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Consider what is likely to have been written about you in all the clinical notes from your visits to clinics and hospitals. What kinds of information are you most concerned about being exposed to the public? Are you convinced that the methods discussed in this module would work to protect your privacy while still producing useful features?,,,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Which of the following statements is false?,"A photograph of a patient's face is a medical image.

Some kinds of medical imaging are not hazard-free.

Detecting physiochemical activity is an example of functional imaging.

An EKG depicts the movement of the wall of the heart.

All of the above are true.",An EKG depicts the movement of the wall of the heart.,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
Which of the following is NOT considered protected health information (PHI)?,"The patient's email address

A photograph of the patient's left wrist

The full name of the patient's roommate

None of the above are PHI

All of the above are PHI",A photograph of the patient's left wrist,"Knowledge Check

Practice Quiz
.
 • 30 min
.
 • 
3 total points available.
3 total points"
What are the three groupings of AI Applications in Healthcare?,"Biomedical Research, Translational Research, Medical Practice

Image Analysis, Electronic Healthcare Records, Bedside Monitoring 

Drug Discovery, Risk Stratification, Predictive Analytics 

None of the Above","Biomedical Research, Translational Research, Medical Practice","Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is important to consider when developing at AI Solution?,"Model Performance 

Model Lead Time 

Mitigation strategy for model output

All of the Above ",All of the Above ,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following statements is true?,"Stakeholder involvement should be considered in the development and deployment attributes of the AI solution but not in the design 

Multiple stakeholders must be involved when developing a useful AI solution. 

Stakeholder involvement should be considered in the design and deployment attributes of the AI solution but not in the development 

Multiple stakeholders are necessary to approve different components of the AI solution ",Multiple stakeholders must be involved when developing a useful AI solution. ,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
A researcher would like to develop an AI solution to predict in-hospital mortality among patients being treated for ischemic heart failure. The solution was developed using retrospective data from the academic medical center. Which of the following needs to be evaluated before the development phase?,"What action can be taken based on the model output 

Who needs to take the action 

A and B

Is funding secured to ensure dissemination and scalability of the model",A and B,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Based on the Outcome-Action-Pairing model, what would be a good AI model to deploy?","A classifier that can accurately separate patients with the common cold into two novel groups 

A prediction model that can accurately identify hospitalized patients who will have a cardiac arrest within the next two minutes

A prediction model that will identify patients receiving a total knee replacement who are likely to be readmitted (70% precision) within 30 days of discharge 

None of the above",A prediction model that will identify patients receiving a total knee replacement who are likely to be readmitted (70% precision) within 30 days of discharge ,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"To assess feasibility, one must investigate the data being used in the AI Solution. Which of the following are necessary to assess prior to model development?","Data availability, quality, missingness

The inclusion of longitudinal data

Data are current within 6 months 

None of the above","Data availability, quality, missingness","Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
True or False - AI Solutions that involve an operational action paired with the outcome have greater clinical benefit than those that have a medical action paired with the outcome,"True

False",False,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
What are the components of clinical evaluation that are necessary to understand clinical utility?,"Analytical validation & clinical validation

Valid clinical association, analytical validation & clinical validation

Feasibility validation, Analytical validation & clinical validation

None of the above","Valid clinical association, analytical validation & clinical validation","Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
What is an example of an AI solution with an operational action?,"Predicting a patient's need for transfer to ICU

Predicting the number of ICU beds needed for vascular surgery patients

Predicting the risk of a 30-day hospital readmission

Predicting the number of acute injuries over a 60-day period",Predicting a patient's need for transfer to ICU,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following are challenges to AI deployment?,"Lack of buy in from Stakeholders 

Lack of evidence for clinical utility

Lack of resources and expertise

All of the Above ",All of the Above ,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is true about data types and sources? ,"Data sources, data types and data availability are the crux of any AI product

Internal data sources are best for the development and validation of an AI solution

The use of public data sources is standard for external validation

None of the Above ","Data sources, data types and data availability are the crux of any AI product","Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is not an important setting in AI development?,"Academics

Industry

Government

Philanthropy

All of the above ",All of the above ,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Why is silent mode an important component in the AI Deployment Framework?,"Silent Mode is crucial for getting buy-in from all stakeholders while masking the predictive potential of the AI solution

Silent Mode is crucial for finalizing workflows and product configurations, as well as the prospective, temporal validation of an AI product.

Silent Mode provides information on the human-machine interaction.

None of the above","Silent Mode is crucial for finalizing workflows and product configurations, as well as the prospective, temporal validation of an AI product.","Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
How is stealth science harmful to AI solutions?,"Stealth Science is not harmful to AI solutions 

Stealth science uses data that may violate privacy rights of patients

Stealth science allows industry to generate more accurate models that may not be validated in the academic setting

Stealth science hinders the transparency of the AI solution, which allows bias and algorithmic fairness to go unchecked","Stealth science hinders the transparency of the AI solution, which allows bias and algorithmic fairness to go unchecked","Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
What one is an aspect of the evaluate and validate component of the AI Deployment pathway?,"Technical integration

Stealth science

Clinical validity

A and C

All of the above",A and C,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"What type of bias is described in this example: An AI model is developed based on “known” symptoms of heart attack using retrospective data? The problem is that the model was developed based on male symptoms so the model might be very accurate for identifying males with heart attack symptoms, but it might not work well in females, who present with different symptoms. ","Measurement Bias

Representation Bias

Historical Bias

Deployment Bias",Historical Bias,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"We have looked at models that predict complications in type 2 diabetes. These models had high precision and were validated across systems. However, a review of these AI solutions found that most studies did not report demographics of their training data. This raises concern given Hispanics higher prevalence and complication rates for T2DM compared to whites. What type of bias should we be concerned about here?","Measurement Bias

Deployment Bias

Representation Bias

Historical Bias",Representation Bias,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Calibration is a measure of algorithmic fairness that refers to the models agreement between model predictions and observed outcomes. In our example of 30-day hospital readmissions, how can over-estimation of the outcome be harmful?","All of the above

Waste of scarce resources 

Potential harm to the patient if unnecessary mitigation strategies are undertaken

Unnecessary anxiety for the patient",All of the above,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"When developing an AI solution, it is important to think about both equality and equity. Which statement describes what is meant by equity in AI development?","Equity suggests that each group is given the amount of resources needed to have similar outcomes, such as mortality rates or hospitalizations

Equity suggests that each group should be given the same amount of resources and no group should be prioritized

Equity suggests that every AI model should be assessed for algorithmic fairness to ensure that each group is properly represented in the training data

None of the above","Equity suggests that each group is given the amount of resources needed to have similar outcomes, such as mortality rates or hospitalizations","Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
A change to which of the following does not require a modification review by the regulatory agency?,"The addition of new training data from the original source

Through the improvement of the AI model, in addition to “inform clinical management” the intended use can now also include “treatment recommendation” 

The update of the model performance to reduce false positive alarm rates 

The addition of 15-18 years olds to the intended population for an image-based dermatology diagnostic tool",The update of the model performance to reduce false positive alarm rates ,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"According to the FDA’s software as a medical device, which of the following are not regulated?","An AI solution that is intended to treat, diagnose, cure, or mitigate a disease or health condition

A medical device that does not achieve its primary intended purposes through chemical action within or on the body

An AI solution that was designed, developed, and deployed at a single institution for quality improvement purposes

Answer B and C",Answer B and C,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following FDA risk categories require pre-market approval?,"Category IV only

Categories III and IV

Categories I, II, and III

Categories I and II",Categories III and IV,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Clinical association under the FDA’s regulatory framework is provided at what time during the regulatory process?,"Pre-market

Post-Market

Both pre and post-market

None of the above",Both pre and post-market,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
What are the criteria that determine whether clinical decision support tools are regulated as a software as a medical device under FDA regulation?,"The software cannot receive, analyze or otherwise process a medical image or signal from an in vitro diagnostic device (such as a DNA-sequencing machine) or from any other signal acquisition system

A healthcare professional must be able to understand the basis of its recommendations. 

The software cannot be intended as the sole source of recommendations regarding treatment, diagnosis or prevention of a disease.

Answer A and C 

All of the above",All of the above,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
True or False: The FDA includes regulatory oversight for adaptive AI solutions,"True

False",False,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"You have developed an AI solution that triages patients in the ED based on cardiac symptoms. You screen 52 people to predict 12 that need to be admitted. Your model - running in silent mode - is confirmed to be accurate 80% of the time, meaning 80% of the time the patient did need to be admitted and 20% of the time they had no benefit from the admission. What is the Number Needed to Screen and Number Needed to Treat to have 30 people benefit?","NNT: 1.3 and you need to admit 37.5 people for 30 people to have a benefit

NNT: 1.3 and you need to admit 50 people for 30 people to have a benefit

NNT: 4.3 and you need to admit 50 people for 30 people to have a benefit

NNT: 4.3 and you need to admit 37.5 people for 30 people to have a benefit",NNT: 4.3 and you need to admit 37.5 people for 30 people to have a benefit,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"The FDA has defined the total product life cycle (TPLC) of an AI solution, which includes important components that are necessary to understand and evaluate prior to deployment. What are the components of the TPLC? ","Data Selection & Management, Model Training & Tuning; Model Validation

Data Selection & Management; Model Validation; Model evaluation for safety and effectiveness

Design and Development; Model Evaluation; Model Validation

None of the Above ","Data Selection & Management, Model Training & Tuning; Model Validation","Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
What type of evidence can be used to justify a valid clinical association under the FDA’s regulatory framework?,"Literature searches

Professional guidelines

Secondary data analysis

None of the above

All of the above",All of the above,"Final Exam

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is FALSE regarding insurance or intermediaries? ,"In the US, the most common way people get insurance is through their employer. 

Insurance companies and government programs are two different types of intermediaries. 

If you are a healthy person in a risk pool with people of a range of health statuses (i.e. sick and healthy individuals), your premium will likely be higher than your expected spending. 

Private insurance can only be obtained through an employer. ",Private insurance can only be obtained through an employer. ,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is FALSE regarding healthcare delivery organizations such as physician practices or hospitals in the US?,"Healthcare delivery organizations can be operated by the government.

Essentially all delivery organizations are a part of a physician practice or a hospital

Physician practices and the facilities in which physicians provide services are always integrated into the same organization.

Both non-profit and for-profit organizations face economic pressures.",Physician practices and the facilities in which physicians provide services are always integrated into the same organization.,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"A 50-year-old woman goes to her doctor for her annual physical exam. At the visit, she receives a mammogram and her annual influenza shot. Which level of care does this represent?","Secondary

Quaternary

Primary

Tertiary",Primary,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following regarding rising healthcare costs over time is true?,"Aging of the population, increasing standards of living, and the adoption of new technologies, have all contributed to spending growth.

Rising costs are easily justified because they almost always result from using expensive new technologies that end up improving population health outcomes.

While the total amount of spending on healthcare in the US is increasing, the percent GDP spent on healthcare is not.

This trend is only found in the United States.","Aging of the population, increasing standards of living, and the adoption of new technologies, have all contributed to spending growth.","Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is MOST likely to incentivize health care providers to over-utilize medical care?,"Fee for service payment system

Paying physicians a salary

Using “supply-side” tools such as gatekeepers

Capitation payment system

Increasing the number of expensive but not readily accessible diagnostic tools and services",Fee for service payment system,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Hospitals in the US can:,"Operate on a for-profit or a not-for-profit basis

Be publicly or privately owned

Be teaching or non-teaching

Have or lack an emergency department (ED)

Have or lack an intensive care unit (ICU)

All of the above",All of the above,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
"Which of the following accurately describes a hospital network, in the context of U.S. health insurance?","All hospitals within the same geographic area

The group of physicians with admitting privileges at a hospital

A group of hospitals with whom an insurer works, and whose enrollees are encouraged to use

None of the above","A group of hospitals with whom an insurer works, and whose enrollees are encouraged to use","Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following best describes the DRG system?,"It incentivizes efficient care by paying hospitals based on patient characteristics, not length of stay or services performed

It is compatible with paying a hospital on a fee-for-service basis

It gives a hospital a single payment for a patient with a given diagnosis, regardless of whether or not that patient is an “outlier”

It is a form of retrospective payment","It incentivizes efficient care by paying hospitals based on patient characteristics, not length of stay or services performed","Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
True of False? It is possible for the physician portion of a payment to be paid via a different mechanism (e.g. fee-for-service) than the facility portion.,"True

False",True,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
Which of the following is FALSE regarding Accountable Care Organizations (ACOs)?,"An ACO is an entity that works to integrate and coordinate care by involving a range of physicians who work together but are not necessarily financially integrated

When interfacing with intermediaries, the ACO can act on behalf of the participating providers

The ACO concept was originally devised by private insurance companies as a way to decrease costs for their members

Larger organizations can be better suited to ACO adoption because they can often more easily provide for a wide range of care and manage payment arrangements that can incentivize efficient care",The ACO concept was originally devised by private insurance companies as a way to decrease costs for their members,"Final Assessment

Graded Quiz
.
 • 1h

DueSep 3, 11:59 PM +07"
