Question,Answer,Correct,Title
Which of the following is not one of the key challenges for AI diagnostic algorithms that is discussed in the lecture?  ,"Multiple tasks

Dataset size

Inflexible models

Class imbalance",Inflexible models,"Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
You find that your training set has 70% negative examples and 30% positive. Which of the following techniques will NOT help for training this imbalanced dataset?  ,"Oversampling positive examples 

Reweighting examples in training loss 

Oversampling negative examples 

Undersampling negative examples ",Oversampling negative examples ,"Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
"What is the total loss from the normal (non-mass) examples in this example dataset? 

Please use the natural logarithm in your calculation.  When you use numpy.log, this is using the natural logarithm.  Also, to get the total loss, please add up the losses from each ‘normal’ example. 

Example

	

P(positive)




P1 Normal 

	

0.6 




P3 Normal 

	

0.3 




P5 Mass 

	

0.4 ","2.19

0.00

-0.4

1.27 ",1.27 ,"Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
What is the typical size of medical image dataset? ,"~10 thousand to 100 thousand  images

~1 to 1 hundred images

~ 1 hundred to 1 thousand images

~1 million or more  images",~10 thousand to 100 thousand  images,"Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
Which of the following are valid methods for determining ground truth?  Choose all that apply.,"Biopsy

Confirmation by CT scan

Consensus voting from a board of doctors","Biopsy
Confirmation by CT scan
Consensus voting from a board of doctors","Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
"In what order should the training, validation, and test sets be sampled?  ","Test, Validation, Training

Training, Validation, Test

Validation, Test, Training

Validation, Training, Test","Test, Validation, Training","Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
Why is it bad to have the same patients in both training and test sets?,"Overly optimistic test performance

None of these above

Leaves too few images for the training set

Leaves too few images for the test set ",Overly optimistic test performance,"Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
Let’s say you have a relatively small training set (~5 thousand images). Which training strategy makes the most sense?   ,"Retraining all layers of a pre-trained model

Train a model with randomly initialized weights

Retraining the last layer of a pre-trained model

Retraining the first layer of a pre-trained model",Retraining the last layer of a pre-trained model,"Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
Now let’s say you have a very large dataset (~1 million images). Which training strategies will make the most sense?,"Retraining the first layer of a pretrained model

Training a model with randomly initialized weights.

Retraining the last layer of a pretrained model

Retraining all layers of a pretrained model","Training a model with randomly initialized weights.
Retraining all layers of a pretrained model","Back
Disease Detection with Computer Vision

Practice Quiz
.
 • 30 min
.
 • 
10 total points available.
10 total points

English"
"What is the sensitivity and specificity of a pneumonia model that always outputs positive?  In other words, the models says that every patient has the disease.","sensitivity = 0.5,  specificity = 0.5

sensitivity = 1.0, specificity = 0.0

sensitivity  = 1.0, specificity = 1.0

sensitivity = 0.0, specificity = 1.0","sensitivity = 1.0, specificity = 0.0","Back
Evaluating Machine Learning Models

Practice Quiz
.
 • 
9 total points available.
9 total points

English"
