Question,Answer,Correct,Title
How do you create a ReplicaSet from scratch?,"Use the ‘get pods’ command.

Apply a YAML file with the ‘kind’ attribute set to ‘ReplicaSet’.

Use the ‘scale’ command to scale the deployment.

Apply a JSON file that includes the number of desired replicas.",Apply a YAML file with the ‘kind’ attribute set to ‘ReplicaSet’.,"Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What Kubernetes object adds or deletes pods for scaling and redundancy?,"A Config Map

A Secret

A ReplicaSet

A DaemonSet",A ReplicaSet,"Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
Which Kubernetes autoscaler type scales the Cluster?,"Vertical Pod Autoscaler (VPA)

You cannot autoscale a Kubernetes Cluster.

Horizontal Pod Autoscaler (HPA)

Cluster Autoscaler (CA)",Cluster Autoscaler (CA),"Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
How do you prepare your application to enable rolling updates?,"Add liveness and readiness probes to deployments.

Use autoscaling.

Set the maxSurge to 50%.

Set the maxSurge to 100%.",Add liveness and readiness probes to deployments.,"Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
Which rolling update types ensure 100% app availability?,"Both all-at-once and one-at-a-time updates and rollbacks ensure 100% app availability.

All-at-once updates and rollbacks ensure 100% app availability.

One-at-a-time updates and rollbacks ensure 100% app availability.

No rolling update types can ensure 100% app availability.",One-at-a-time updates and rollbacks ensure 100% app availability.,"Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What does a ConfigMap do?,"Provides variables for your application

Provides sensitive information to your application

Mounts a file using the volumes plugin 

Verifies that a Secret was created",Provides variables for your application,"Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What are three ways to create a ConfigMap? ,"By providing a ConfigMap YAML descriptor file

By using string literals

By using an existing property or ‘key’ = ‘value’ file

By adding another environment to the deployment descriptor","By providing a ConfigMap YAML descriptor file

By using string literals

By using an existing property or ‘key’ = ‘value’ file","Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What are three ways to create a Secret?,"By using volume mounts

By providing a ConfigMap YAML descriptor file

By using a string literal 

By using environment variables ","By using volume mounts

By using a string literal 

By using environment variables ","Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What does Service binding do? ,"Manages configuration and credentials for back-end Services while protecting sensitive data

Provides variables for your application

Consumes the external Service by binding the application to a deployment

Makes Service credentials available to you automatically as a Secret",Manages configuration and credentials for back-end Services while protecting sensitive data,"Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What are the three required steps to bind the IBM Cloud Service to your Cluster? ,"Bind the Service to your Cluster to create credentials.

Provision an instance of the Service.

Configure your app to access the credentials.

Erase the credential configuration file after credential setup.","Bind the Service to your Cluster to create credentials.

Provision an instance of the Service.

Configure your app to access the credentials.","Module 3 - Graded Quiz: Managing Applications with Kubernetes

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
OpenShift is a platform for running microservices. Select three features you’ll find on the OpenShift platform.,"Deploy cloud-native applications

Sell third-party software

Integrate with serverless architectures

Orchestrate containerized workloads","Deploy cloud-native applications

Integrate with serverless architectures

Orchestrate containerized workloads","Practice Quiz: OpenShift Essentials/Working with OpenShift and Istio

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
"In the analogy described in the Red Hat OpenShift Recap video, which of the following terms is analogous to Kubernetes?","Fedora

Linux kernel

Ubuntu

Debian",Linux kernel,"Practice Quiz: OpenShift Essentials/Working with OpenShift and Istio

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
Istio doesn't encrypt traffic among services because OpenShift does this already.,"True

False",True,"Practice Quiz: OpenShift Essentials/Working with OpenShift and Istio

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
Select three capabilities that a service mesh enables.,"Traffic management

Secure service-to-service communication

Third-party software procurement

Troubleshooting","Traffic management

Secure service-to-service communication

Troubleshooting","Practice Quiz: OpenShift Essentials/Working with OpenShift and Istio

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
A service mesh is a dedicated layer that supplies logging capabilities in an OpenShift cluster.,"True

False",True,"Practice Quiz: OpenShift Essentials/Working with OpenShift and Istio

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
Each Cloud Region can have multiple Zones (also known as Availability Zones). What are Zones?,"Single shared point of failure 

Geographic area or region where cloud provider’s infrastructure is clustered

Unique physical locations with one or more data centers 

Standardized containers of computing resources",Unique physical locations with one or more data centers ,"Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
"Is it possible to run completely different operating systems on Virtual Machines (VMs) that are on a single host? If yes, what makes this possible?","No, it is not possible—VMs are software-based versions of a single host. They cannot have different environments from one another. 

No, it is not possible—A single host can only work as one single virtual environment, and can, therefore, have only one environment. 

Yes, Virtualization makes it possible— to have VMs, running different operating systems, on a single host. 

Yes, Containerization makes it possible—to have VMs that are unique physical entities, so you can have completely different Operating Systems on them. ","Yes, Virtualization makes it possible— to have VMs, running different operating systems, on a single host. ","Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
Which of the following are examples of single-tenant compute environments in the Cloud? Select two.,"Transient virtual servers 

Bare Metal servers

Reserved virtual server 

Dedicated host ","Bare Metal servers

Dedicated host ","Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
"Which of these scenarios is ideal for the use of bare metal servers, as opposed to virtual servers? Select two.","CPU and I/O intensive workloads

Workloads that require limited throughput and performance 

Huge performance and strict security and compliance requirements 

Low cost to use ","CPU and I/O intensive workloads

Huge performance and strict security and compliance requirements ","Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What are some key differences between Containers and Virtual Machines? Select two.,"Even though each container uses the same OS as the host OS, it still needs to have its own copy of the OS, while a virtual machine leverages the resources of the host OS 

Containers are executable units of software while each virtual machine is a distinct physical entity 

Containers are more lightweight as compared to virtual machines 

Containers can use the same OS as the host, while a virtual machine needs its own copy of the OS, which can also be different from the host OS ","Containers are more lightweight as compared to virtual machines 

Containers can use the same OS as the host, while a virtual machine needs its own copy of the OS, which can also be different from the host OS ","Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
There are four types of cloud storage available. Which storage type is ephemeral or non-persistent?,"Direct Attached storage

File storage 

Block storage 

Object storage ",Direct Attached storage,"Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What makes File storage an ideal solution for scenarios where shared storage is needed?,"File storage can be mounted on multiple compute nodes at the same time 

Mounted from remote storage appliances 

Its consistently high speed 

File Storage is mounted to compute nodes via an ethernet network",File storage can be mounted on multiple compute nodes at the same time ,"Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
Which of these scenarios are best suited for Block Storage? Select two.,"Low cost is a consideration

Applications that need consistent fast access to disk, such as databases 

Workloads that need low-latency storage

Workloads that need disk sharing between compute nodes ","Applications that need consistent fast access to disk, such as databases 

Workloads that need low-latency storage","Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
Which of these are features of Object Storage? Select two.,"Object storage is effectively infinite 

Storage is attached to compute nodes using a fibre network

Object Storage can be mounted on multiple compute nodes via an ethernet network 

You can directly use Object Storage without attaching it to a compute node","Object storage is effectively infinite 

You can directly use Object Storage without attaching it to a compute node","Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
What is the main benefit of a Content Delivery Network (CDN)?,"Enhanced control over network traffic by routing traffic to specified resources 

Speed, it makes your website faster by serving files from a location closer to the user. 

Distribute tasks, workloads, and network traffic

Network topology ","Speed, it makes your website faster by serving files from a location closer to the user. ","Module 3 Graded Quiz

Graded Quiz
.
 • 30 min

DueJun 25, 11:59 PM +07"
Which of the following statements are correct about databases?,"A database is a repository of data

There are different types of databases - Relational, Hierarchical, NoSQL, etc.

A database can be populated with data and be queried 

All of the above",All of the above,"Graded Quiz: Introduction to Databases

Graded Quiz
.
 • 10 min

DueJun 11, 11:59 PM +07"
A database stores data in tabular form only. True or False?,"True

False",False,"Graded Quiz: Introduction to Databases

Graded Quiz
.
 • 10 min

DueJun 11, 11:59 PM +07"
"In a library entity-relationship data model, a book is an example of _____ and the book’s title, edition, and publication date are examples of _______.","an entity, attributes

an attribute, entities

an entity, properties 

a row, columns","an entity, attributes","Graded Quiz: Introduction to Databases

Graded Quiz
.
 • 10 min

DueJun 11, 11:59 PM +07"
Which of the following statements about a database is/are correct?,"A database is a logically coherent collection of data with some inherent meaning

Data can only be added and queried from a database but not modified

Only SQL can be used to query data in a database

All of the above",A database is a logically coherent collection of data with some inherent meaning,"Graded Quiz: Introduction to Databases

Graded Quiz
.
 • 10 min

DueJun 11, 11:59 PM +07"
The primary key of a relational table uniquely identifies each row in a table. True or False?,"True

False",True,"Graded Quiz: Introduction to Databases

Graded Quiz
.
 • 10 min

DueJun 11, 11:59 PM +07"
Which of the following do you use to request that someone reviews and approves your changes to a project before they become final?,"Pull request

Repository

Commit changes

Fork",Pull request,"Practice Quiz: Getting Started with Git and GitHub

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
Which git command allows you to see the state of your working directory and the staged snapshot of your changes?,"git-log

git-checkout

git-status

git-reset",git-status,"Practice Quiz: Getting Started with Git and GitHub

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
Which of the following is a feature of the Git Repository model?,"It is a distributed version control system

It sorts code into folders and sub-folders

It is based on a binary tree

It corrects bad code in a project",It is a distributed version control system,"Practice Quiz: Getting Started with Git and GitHub

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
"In GitHub, what is an organization?","The top level of a repository tree

A path to the code files in a project

A name you must specify for your repository

A collection of user accounts that owns repositories",A collection of user accounts that owns repositories,"Practice Quiz: Getting Started with Git and GitHub

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
Under which tab on GitHub will you find all the source files for a repository?,"Settings

<> Code

Pull Requests

Projects",<> Code,"Practice Quiz: Getting Started with Git and GitHub

Practice Quiz
.
 • 10 min
.
 • 
5 total points available.
5 total points"
"what will be the output of the following:

for x in range(0,3):     

print(x)

","0

1

2

0

1

2

3","0

1

2","Practice Quiz

Practice Quiz
.
 • 9 min
.
 • 
3 total points available.
3 total points"
"what is the output of the following:

for x in ['A','B','C']:
  print(x+'A')

","AA

BA

CA

A

B

C","AA

BA

CA","Practice Quiz

Practice Quiz
.
 • 9 min
.
 • 
3 total points available.
3 total points"
"what is the output of the following:

for i,x in enumerate(['A','B','C']):    

print(i,x)

","0 A

1 B

2 C

AA

BB

CC","0 A

1 B

2 C","Practice Quiz

Practice Quiz
.
 • 9 min
.
 • 
3 total points available.
3 total points"
"Consider the following tuple:

say_what=('say',' what', 'you', 'will') 


what is the result of the following say_what[-1]","'you'

' what'

'will'

'say'",'will',"Practice Quiz

Practice Quiz
.
 • 21 min
.
 • 
7 total points available.
7 total points"
"Consider the following tuple A=(1,2,3,4,5). What is the result of the following: A[1:4]:","(2, 3, 4,5)

(3, 4,5)

(2, 3, 4)","(2, 3, 4)","Practice Quiz

Practice Quiz
.
 • 21 min
.
 • 
7 total points available.
7 total points"
"Consider the following tuple A=(1,2,3,4,5), what is the result of the following: len(A)","6

5

4",5,"Practice Quiz

Practice Quiz
.
 • 21 min
.
 • 
7 total points available.
7 total points"
"Consider the following list B=[1,2,[3,'a'],[4,'b']], what is the result of the following:B[3][1]","""c""

""b""

[4,""b""]","""b""","Practice Quiz

Practice Quiz
.
 • 21 min
.
 • 
7 total points available.
7 total points"
"What is the result of the following operation?





[1,2,3]+[1,1,1]","[2,3,4]

TypeError     

[1, 2, 3, 1, 1, 1]","[1, 2, 3, 1, 1, 1]","Practice Quiz

Practice Quiz
.
 • 21 min
.
 • 
7 total points available.
7 total points"
"What is the length of the list A = [1] after the following operation: A.append([2,3,4,5])","5 

2

6",2,"Practice Quiz

Practice Quiz
.
 • 21 min
.
 • 
7 total points available.
7 total points"
"What is the result of the following: ""Hello
Mike"".split()","[""H""]

[""Hello"",""Mike""]

[""HelloMike""]","[""Hello"",""Mike""]","Practice Quiz

Practice Quiz
.
 • 21 min
.
 • 
7 total points available.
7 total points"
What does Django map each field to in a database table?,"Column 

Parameter

Field class

Schema",Column ,"Practice Quiz: ORM and Django Model

Practice Quiz
.
 • 2 min
.
 • 
1 total point available.
1 total point"
Which cloud deployment model lets users use multiple cloud models working together seamlessly?,"Broad Network Access

Public

Private

Hybrid",Hybrid,"Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
What 1950s technology helped evolve to Virtual Machines (VMs)?,"Broad network access

Shared access of a mainframe

Measured service",Shared access of a mainframe,"Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
What are some cloud computing benefits? Select two.,"Flexibility and efficiency

Diversity of standardization in how the constantly evolving technologies integrate and interoperate. 

Competitive advantage    

Purchasing off-the-shelf software and upgrades ","Flexibility and efficiency

Competitive advantage    ","Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
Which of these vendors are known more for their SaaS offerings?,"Amazon Web Services 

Intel 

Salesforce, SAP, Oracle Cloud 

Alibaba Cloud ","Salesforce, SAP, Oracle Cloud ","Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
"According to the International Data Corporation (IDC), what is that crucial ability that will make cloud computing essential for businesses to succeed, sustain, and compete in today’s markets?","Data-driven decisions

Cognitively-enabled workflows

Multi-cloud infrastructures

Applied exponential technologies such as AI, Automation, IoT, and Blockchain",Data-driven decisions,"Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
How did UBank leverage the cloud to remove barriers to innovation?,"By adopting a PaaS cloud development model to streamline development and empower product teams 

By modernizing their customer-facing apps based on monolithic code into cloud-native based microservices architecture on the cloud

By establishing a scalable hosting platform for low-latency delivery to enterprise customers around the world

By migrating their trading systems from on-premises infrastructure to IBM Cloud for VMware solutions",By adopting a PaaS cloud development model to streamline development and empower product teams ,"Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
How does Cloud Computing help IoT devices? Select two.,"Minimize latency in reporting and responding to data collected through IoT sensors from around the world

Provide the resources to store and process the data produced by IoT devices and users

Draw insights from data collected from the IoT devices and users

Provide a fixed physical location for the data collected from IoT devices","Minimize latency in reporting and responding to data collected through IoT sensors from around the world

Provide the resources to store and process the data produced by IoT devices and users","Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
Which of these statements best reflects the symbiotic relationship between AI and IoT on the Cloud?,"AI and IoT platforms leverage the power, scale, dynamic nature, and economics of the cloud resources.

AI consumes data produced by IoT devices. Based on conclusions drawn by AI algorithms on patterns emerging this data, IoT devices learn to anticipate user actions based on past actions and respond to them based on their preferences.

AI helps make sense of the endless streams of data from IoT devices

AI consumes the data produced by IoT devices and users.","AI consumes data produced by IoT devices. Based on conclusions drawn by AI algorithms on patterns emerging this data, IoT devices learn to anticipate user actions based on past actions and respond to them based on their preferences.","Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
How does Blockchain support AI?,"Blockchain provides an immutable network allowing members to view only those transactions that are relevant to them.

Globally distributed, scalable, and cost-efficient computing resources.

Lends trust and transparency to AI by recording the data and variables that go into a decision made in an AI algorithm.

Blockchain provides the trusted, decentralized source of truth lending trust and transparency to the decisions made by AI algorithms.","Blockchain provides the trusted, decentralized source of truth lending trust and transparency to the decisions made by AI algorithms.","Practice Quiz

Practice Quiz
.
 • 30 min
.
 • 
9 total points available.
9 total points"
Have you created a dealership list template? ,"Yes

No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
Have you updated the dealership list view? ,"Yes

No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
Have you created a dealer details/reviews template? ,"Yes

No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
Have you created a review submission page and template? ,"Yes

No",Yes,"Dynamic Pages Checklist

Graded Quiz
.
 • 12 min

DueJul 2, 11:59 PM +07"
